#MSD on k
#dk	gmm	kde
2	0.108367927764 	0.330234398713
5	0.0744246024416	0.088705901249
8	0.0425128673207	0.0501070841028
12	0.0424486526949 	0.0331550514936
15	0.0190780340154 	0.0224846353958
18	0.0283344962894 	0.0218294468646	
21	0.0501070841028  0.0285093309249
24	0.0150530695648 0.0198581177622

