#MSD on k
#dk	gmm	kde
2	0.332306257618 	0.308642652665
5	0.112820323254	0.103058306112
8	0.059671342759	0.0538224694899
12	0.043584709456 	0.0401254717006
15	0.037827275242	0.034382514953
18	0.021841066632 	0.0190587637091
21	0.022988447962     0.0206227363924
24	0.020688541933    0.0187568526849

