#MSD on d
#d	gmm	kde
2	0.391352573448	0.0456419445336
4	0.043450615093	0.0432383554265
6	0.0470982912793	0.0470976602768
8	0.0394388717952	0.0394388715819
10	0.0497961407799	0.0497961407798

